transaction_id,product_name
1,Eggs
1,Cereal
1,Cheese
1,Butter
2,Juice
3,Juice
3,Butter
3,Bread
3,Cereal
3,Milk
4,Tomatoes
4,Juice
4,Yogurt
5,Cheese
5,Bread
5,Juice
6,Yogurt
6,Juice
7,Potatoes
7,Cheese
7,Bread
7,Eggs
8,Butter
8,Bread
9,Bread
9,Butter
10,Coffee
10,Milk
10,Cereal
10,Butter
10,Jam
11,Potatoes
12,Yogurt
12,Coffee
12,Cereal
13,Bread
13,Tomatoes
13,Juice
13,Cereal
13,Eggs
14,Coffee
14,Jam
14,Butter
15,Yogurt
15,Cereal
15,Eggs
15,Coffee
15,Juice
16,Tomatoes
16,Butter
16,Coffee
17,Bread
17,Potatoes
17,Eggs
17,Milk
17,Tomatoes
18,Jam
18,Coffee
19,Cereal
19,Tomatoes
19,Cheese
19,Butter
19,Eggs
20,Bread
20,Cheese
20,Cereal
20,Eggs
20,Tomatoes
21,Eggs
21,Yogurt
21,Cereal
21,Butter
22,Jam
22,Tomatoes
23,Jam
23,Milk
23,Butter
24,Butter
24,Jam
24,Juice
25,Milk
26,Butter
26,Eggs
26,Cheese
26,Bread
27,Juice
27,Jam
27,Eggs
27,Butter
28,Butter
29,Butter
29,Cheese
30,Cereal
31,Potatoes
31,Juice
31,Tomatoes
31,Eggs
31,Cheese
32,Tomatoes
32,Butter
32,Milk
32,Cereal
32,Cheese
33,Potatoes
33,Jam
33,Butter
33,Coffee
33,Milk
34,Milk
34,Eggs
34,Juice
34,Potatoes
35,Tomatoes
36,Butter
37,Eggs
38,Butter
39,Coffee
39,Tomatoes
39,Butter
39,Cheese
39,Milk
40,Potatoes
41,Tomatoes
42,Yogurt
42,Jam
43,Bread
43,Milk
44,Bread
44,Juice
45,Bread
45,Cereal
46,Tomatoes
46,Milk
46,Potatoes
46,Coffee
46,Bread
47,Butter
47,Cereal
47,Cheese
47,Eggs
47,Bread
48,Yogurt
48,Coffee
48,Butter
48,Milk
48,Juice
49,Yogurt
50,Coffee
50,Jam
51,Cheese
52,Cheese
52,Milk
52,Potatoes
53,Jam
53,Potatoes
53,Cereal
53,Juice
53,Eggs
54,Eggs
54,Potatoes
54,Cheese
54,Juice
55,Juice
55,Bread
56,Potatoes
56,Bread
56,Cereal
56,Coffee
56,Juice
57,Eggs
57,Butter
57,Tomatoes
57,Coffee
58,Cheese
58,Butter
58,Coffee
58,Eggs
58,Tomatoes
59,Potatoes
59,Cheese
59,Jam
59,Eggs
60,Yogurt
60,Tomatoes
60,Milk
60,Eggs
61,Milk
61,Eggs
62,Milk
62,Coffee
62,Cheese
62,Jam
62,Bread
63,Coffee
63,Bread
64,Bread
64,Yogurt
64,Milk
65,Cereal
66,Yogurt
66,Potatoes
66,Cheese
66,Jam
66,Cereal
67,Jam
67,Eggs
68,Butter
68,Cereal
68,Milk
68,Cheese
68,Jam
69,Butter
69,Yogurt
69,Jam
69,Cereal
69,Coffee
70,Yogurt
70,Jam
70,Eggs
70,Cereal
70,Coffee
71,Bread
71,Coffee
71,Cheese
71,Juice
71,Potatoes
72,Cheese
72,Tomatoes
72,Bread
72,Coffee
73,Potatoes
73,Jam
73,Yogurt
74,Juice
74,Yogurt
75,Eggs
75,Juice
75,Bread
75,Cheese
76,Juice
76,Butter
76,Milk
77,Cereal
77,Jam
77,Butter
78,Cheese
78,Coffee
78,Tomatoes
78,Yogurt
79,Milk
79,Coffee
79,Cheese
80,Eggs
80,Jam
80,Bread
80,Cereal
81,Potatoes
81,Jam
81,Juice
81,Coffee
82,Juice
82,Cereal
83,Milk
84,Cheese
84,Yogurt
84,Milk
85,Juice
86,Yogurt
86,Butter
86,Cereal
86,Milk
87,Yogurt
88,Tomatoes
88,Juice
89,Jam
89,Bread
89,Juice
90,Coffee
90,Eggs
90,Bread
90,Cheese
90,Yogurt
91,Jam
92,Eggs
93,Butter
93,Potatoes
93,Jam
93,Coffee
93,Cereal
94,Juice
94,Eggs
94,Potatoes
95,Bread
96,Juice
96,Potatoes
96,Bread
96,Milk
96,Yogurt
97,Milk
97,Cheese
97,Butter
97,Potatoes
97,Yogurt
98,Milk
99,Milk
99,Coffee
99,Cereal
99,Yogurt
99,Tomatoes
100,Cereal
100,Potatoes
